sn	院系	专业	面向对象	人数下限	人数上限	课程名称	课程性质	学分	周学时	起止周	上课时间一	上课时间二	上课时间三	上课时间四	上课时间五	任课教师	备注
57	文学与传媒系	汉语言文学	16汉语言文学专业	86	110	中国现当代文学史（下）	专业必修课	3	3	1-18				"3-5
1-301"		宋石磊	4学时为课外实践
58	文学与传媒系	汉语言文学	16汉语言文学专业	80	110	中国现当代文学史（下）	专业必修课	3	3	1-18				"13-15
1-301"		宋石磊	4学时为课外实践
59	文学与传媒系	汉语言文学	16汉语言文学专业	86	110	文学原理（下）	专业必修课	2	2	1-18		"1-2
1-301"				方婉祯	4学时为课外实践
60	文学与传媒系	汉语言文学	16汉语言文学专业	80	110	文学原理（下）	专业必修课	2	2	1-18			"4-5
1-301"			方婉祯	4学时为课外实践
61	文学与传媒系	汉语言文学	16汉语言文学专业	86	110	现代汉语（下）	专业必修课	3	3	1-18					"3-5
1-302"	孟璐	4学时为课外实践
62	文学与传媒系	汉语言文学	16汉语言文学专业	80	110	现代汉语（下）	专业必修课	3	3	1-18					"8-10
1-302"	孟璐	4学时为课外实践
63	文学与传媒系	汉语言文学	16汉语言文学专业	86	110	中国古代文学史（二）	专业必修课	3	3	1-18	"1-3
1-302"					周秀梅	4学时为课外实践
64	文学与传媒系	汉语言文学	16汉语言文学专业	80	110	中国古代文学史（二）	专业必修课	3	3	1-18	"13-15
1-301"					周秀梅	4学时为课外实践
65	文学与传媒系	新闻学	16新闻学专业	71	71	中外新闻传播史	专业必修课	3	3	1-18	"1-3
1-103"					赵景	
66	文学与传媒系	新闻学	16新闻学专业	89	89	中外新闻传播史	专业必修课	3	3	1-18	"13-15
1-104"					赵景	
67	文学与传媒系	新闻学	16新闻学专业	71	71	新闻写作	专业必修课	2	3	1-12				"3-5
1-203"		陈珂	小班上课
68	文学与传媒系	新闻学	16新闻学专业	35	35	新闻写作	专业必修课	1	3	7-12				"3-5
1-201"		艾民伟	小班上课，6学时为课外实践 
69	文学与传媒系	新闻学	16新闻学专业	36	36	新闻写作	专业必修课	1	3	13-18				"3-5
1-201"		艾民伟	小班上课 ，6学时为课外实践 
70	文学与传媒系	新闻学	16新闻学专业	89	89	新闻写作	专业必修课	2	3	1-12					"3-5
1-203"	陈珂	小班上课 
71	文学与传媒系	新闻学	16新闻学专业	45	45	新闻写作	专业必修课	1	3	7-12					"3-5
1-104"	艾民伟	小班上课，6学时为课外实践 
72	文学与传媒系	新闻学	16新闻学专业	44	44	新闻写作	专业必修课	1	3	13-18					"3-5
1-104"	艾民伟	小班上课，6学时为课外实践 
73	文学与传媒系	新闻学	16新闻学专业	80	110	手绘艺术基础 	专业任选课	2	2	1-18		"8-9
1-301"				温灵	
74	文学与传媒系	新闻学	16新闻学专业	80	110	媒介文化透视	专业任选课	2	2	1-18				"8-9
1-202"		程悦	
75	文学与传媒系	网络与新媒体	16网络与新媒体专业	110	112	数字图像处理	专业必修课	3	3	1-18	"3-5
2实305"					杨正昱	4学时为课外实践
76	文学与传媒系	网络与新媒体	16网络与新媒体专业	110	112	Python语言	专业必修课	3	3	1-18			"12-14
3实308/3实312"			廖汉腾	4学时为课外实践
77	文学与传媒系	网络与新媒体	16网络与新媒体专业	110	112	手绘艺术基础 	专业任选课	2	2	1-18		"10-11
1-301"				温灵	4学时为课外实践
78	文学与传媒系	网络与新媒体	16网络与新媒体专业	110	112	媒介文化透视	专业任选课	2	2	1-18		"4-5
1-402"				杨萍	
322	艺术设计与创意产业系	艺术设计学	16艺设	40	47	色彩构成	专业必修课	3	6	1-9			"13-15
3实110"	"3-5
3实110"		林婷婷	研讨实践指导24学时
323	艺术设计与创意产业系	艺术设计学	16艺设	40	47	计算机辅助设计(二)-AI	专业必修课	3	4	1-15					"2-5
2实406"	陈笑峰	研讨实践指导24学时
324	艺术设计与创意产业系	艺术设计学	16艺设	40	47	设计色彩	专业任选课	4	4	1-18		"2-5
1实105"				王波	研讨实践指导32学时
325	艺术设计与创意产业系	艺术设计学	16艺设	40	47	办公软件	专业任选课	3	3	1-18		"13-15
3实301"				张程	研讨实践指导24学时
326	艺术设计与创意产业系	艺术设计学	16艺设	40	47	色彩构成	专业必修课	3	6	1-9			"3-5
3实110"	"8-10
3实110"		林婷婷	研讨实践指导24学时
327	艺术设计与创意产业系	艺术设计学	16艺设	40	47	计算机辅助设计(二)-AI	专业必修课	3	4	1-15					"8-11
2实406"	陈笑峰	研讨实践指导24学时
328	艺术设计与创意产业系	艺术设计学	16艺设	40	47	设计色彩	专业任选课	4	4	1-18	"12-15
1实105"					王波	研讨实践指导32学时
329	艺术设计与创意产业系	数字媒体艺术	16数媒	40	44	摄影与摄像	专业必修课	3	6	10-18			"3-5
4-404"	"8-10
4-404"		夏丽娜	研讨实践指导24学时
330	艺术设计与创意产业系	数字媒体艺术	16数媒	40	44	设计色彩	专业任选课	3	3	1-18		"13-15
1实105"				王波	研讨实践指导24学时
331	艺术设计与创意产业系	数字媒体艺术	16数媒	40	44	摄影与摄像	专业必修课	3	6	10-18				"3-5
4-404"	"8-10
4-404"	夏丽娜	研讨实践指导24学时
332	艺术设计与创意产业系	数字媒体艺术	16数媒	40	44	设计色彩	专业任选课	3	3	1-18	"3-5
1实105"					王波	研讨实践指导24学时
333	艺术设计与创意产业系	数字媒体艺术	16数媒	84	84	剧本创作	专业必修课	2	4	10-18					"2-5
4-203"	张骞	研讨实践指导16学时
334	艺术设计与创意产业系	数字媒体艺术	16数媒	84	84	设计心理学	专业必修课	2	2	1-18		"10-11
4-303"				夏丽娜	研讨实践指导16学时
335	艺术设计与创意产业系	公共艺术	16公艺	38	40	Sketchup造型设计	专业任选课	3	3	1-18			"13-15
2实406"			欧阳逸斐	研讨实践指导24学时
336	艺术设计与创意产业系	公共艺术	16公艺	38	40	办公软件	专业任选课	3	3	1-18	"13-15
3实301"					待定	研讨实践指导24学时
337	艺术设计与创意产业系	公共艺术	16公艺	38	40	立体构成	专业必修课	3	3	1-18	"3-5
3实110"					林右正	研讨实践指导24学时
338	艺术设计与创意产业系	公共艺术	16公艺	38	40	设计导引	专业必修课	3	3	1-18			"1-3
3-304"			孙月	研讨实践指导24学时
339	艺术设计与创意产业系	公共艺术	16公艺	38	40	Sketchup造型设计	专业任选课	3	3	1-18				"8-10
2实306"		欧阳逸斐	研讨实践指导24学时
340	艺术设计与创意产业系	公共艺术	16公艺	38	40	办公软件	专业任选课	3	3	1-18					"3-5
3实301"	待定	研讨实践指导24学时
341	艺术设计与创意产业系	公共艺术	16公艺	38	40	立体构成	专业必修课	3	3	1-18		"13-15
3实110"				林右正	研讨实践指导24学时
342	艺术设计与创意产业系	公共艺术	16公艺	38	40	设计导引 	专业必修课	3	3	1-18		"8-10
4-403"				孙月	研讨实践指导24学时
